Question,Relevant Documents,Văn bản tham chiếu,Score,Relevant_Documents_Tokenized
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.'), 0.6477712848554237)",1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.,0.6477712848554237,"['1', 'hệ thống', 'tổ chức', 'và', 'quản lý', 'đào tạo', 'đại học', 'gồm', 'hai', 'cấp', 'cấp', 'đại học', 'quốc gia', 'hà nội', 'và', 'cấp', 'đơn vị', 'đào tạo']"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='1. Đào tạo chính quy được tổ chức đào tạo tập trung liên tục trong toàn khóa học và áp dụng cho các chương trình đào tạo quy định tại điểm a, b, c, d, đ, e, g, khoản 2, Điều 6 của Quy chế này. Các hoạt động giảng dạy được thực hiện tại đơn vị đào tạo, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài đơn vị đào tạo.'), 0.43508926784387103)","1. Đào tạo chính quy được tổ chức đào tạo tập trung liên tục trong toàn khóa học và áp dụng cho các chương trình đào tạo quy định tại điểm a, b, c, d, đ, e, g, khoản 2, Điều 6 của Quy chế này. Các hoạt động giảng dạy được thực hiện tại đơn vị đào tạo, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài đơn vị đào tạo.",0.43508926784387103,"['1', 'đào tạo', 'chính quy', 'được', 'tổ chức', 'đào tạo', 'tập trung', 'liên tục', 'trong', 'toàn', 'khóa học', 'và', 'áp dụng', 'cho', 'các', 'chương trình', 'đào tạo', 'quy định', 'tại', 'điểm', 'a', 'b', 'c', 'd', 'đ', 'e', 'g', 'khoản', '2', 'điều', '6', 'của', 'quy chế', 'này', 'các', 'hoạt động', 'giảng dạy', 'được', 'thực hiện', 'tại', 'đơn vị', 'đào tạo', 'riêng', 'những', 'hoạt động', 'thực hành', 'thực tập', 'trải nghiệm', 'thực tế', 'và', 'giảng dạy', 'trực tuyến', 'có thể', 'thực hiện', 'ngoài', 'đơn vị', 'đào tạo']"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='- Chỉ đạo và điều hành thống nhất công tác tổ chức và quản lý đào tạo theo cơ chế mở, liên thông, liên kết và hợp tác giữa các đơn vị đào tạo.'), 0.4108161812900225)","- Chỉ đạo và điều hành thống nhất công tác tổ chức và quản lý đào tạo theo cơ chế mở, liên thông, liên kết và hợp tác giữa các đơn vị đào tạo.",0.4108161812900225,"['chỉ đạo', 'và', 'điều hành', 'thống nhất', 'công tác', 'tổ chức', 'và', 'quản lý', 'đào tạo', 'theo', 'cơ chế', 'mở', 'liên thông', 'liên kết', 'và', 'hợp tác', 'giữa', 'các', 'đơn vị', 'đào tạo']"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.4034567093372927)",a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;,0.4034567093372927,"['a', 'quy chế', 'đào tạo', 'đại học', 'của', 'đại học', 'quốc gia', 'hà nội', 'và', 'các', 'quy định', 'quản lý', 'đào tạo', 'có', 'liên quan', 'của', 'đơn vị']"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='a) Các học phần ngoại ngữ chung do Trường Đại học Ngoại ngữ giảng dạy, trừ các đơn vị có ngành/khoa/bộ môn đào tạo ngoại ngữ;'), 0.4191711618045796)","a) Các học phần ngoại ngữ chung do Trường Đại học Ngoại ngữ giảng dạy, trừ các đơn vị có ngành/khoa/bộ môn đào tạo ngoại ngữ;",0.4191711618045796,"['a', 'các', 'học', 'phần', 'ngoại ngữ', 'chung', 'do', 'trường', 'đại học', 'ngoại ngữ', 'giảng dạy', 'trừ', 'các', 'đơn vị', 'có', 'ngành', 'khoa', 'bộ môn', 'đào tạo', 'ngoại ngữ']"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.38658777039559544)",h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.,0.38658777039559544,"['h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='Giáo viên chủ nhiệm là giảng viên đã hết thời gian tập sự theo quy định, sẵn sàng nhận nhiệm vụ, có trách nhiệm, tận tâm với công việc được giao; Cố vấn học tập là cán bộ có trình độ thạc sĩ trở lên, có ít nhất 2 năm trực tiếp giảng dạy, am hiểu chương trình đào tạo. Các trường hợp đặc biệt do thủ trưởng đơn vị đào tạo quy định.'), 0.3790947772267832)","Giáo viên chủ nhiệm là giảng viên đã hết thời gian tập sự theo quy định, sẵn sàng nhận nhiệm vụ, có trách nhiệm, tận tâm với công việc được giao; Cố vấn học tập là cán bộ có trình độ thạc sĩ trở lên, có ít nhất 2 năm trực tiếp giảng dạy, am hiểu chương trình đào tạo. Các trường hợp đặc biệt do thủ trưởng đơn vị đào tạo quy định.",0.3790947772267832,"['giáo viên', 'chủ nhiệm', 'là', 'giảng viên', 'đã', 'hết', 'thời gian', 'tập sự', 'theo', 'quy định', 'sẵn sàng', 'nhận', 'nhiệm vụ', 'có', 'trách nhiệm', 'tận tâm', 'với', 'công việc', 'được', 'giao', 'cố vấn', 'học tập', 'là', 'cán bộ', 'có', 'trình độ', 'thạc sĩ', 'trở', 'lên', 'có', 'ít nhất', '2', 'năm', 'trực tiếp', 'giảng dạy', 'am hiểu', 'chương trình', 'đào tạo', 'các', 'trường hợp', 'đặc biệt', 'do', 'thủ trưởng', 'đơn vị', 'đào tạo', 'quy định']"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.'), 0.37671689418064713)","2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.",0.37671689418064713,"['2', 'thủ trưởng', 'đơn vị', 'đào tạo', 'quy định', 'phương thức', 'tổ chức', 'hoạt động', 'của', 'giáo viên', 'chủ nhiệm', 'cố vấn', 'học tập']"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;'), 0.5549809939080819)",b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;,0.5549809939080819,"['b', 'các', 'học', 'phần', 'lý luận', 'chính trị', 'do', 'trường', 'đại học', 'kinh tế', 'và', 'trường', 'đại học', 'khoa học xã hội', 'và', 'nhân văn', 'giảng dạy']"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.41312393198023656)",h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.,0.41312393198023656,"['h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3743505593710029)",d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;,0.3743505593710029,"['d', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy']"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;'), 0.3537329954290498)",c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;,0.3537329954290498,"['c', 'các', 'học phần', 'pháp luật', 'do', 'trường', 'đại học', 'luật', 'giảng dạy']"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;'), 0.5644709469061888)",c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;,0.5644709469061888,"['c', 'các', 'học phần', 'pháp luật', 'do', 'trường', 'đại học', 'luật', 'giảng dạy']"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.39619244711534907)",h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.,0.39619244711534907,"['h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3779066997141096)",d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;,0.3779066997141096,"['d', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy']"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;'), 0.3544748642565385)",b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;,0.3544748642565385,"['b', 'các', 'học', 'phần', 'lý luận', 'chính trị', 'do', 'trường', 'đại học', 'kinh tế', 'và', 'trường', 'đại học', 'khoa học xã hội', 'và', 'nhân văn', 'giảng dạy']"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.6590839204642327)",d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;,0.6590839204642327,"['d', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy']"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='1. Đối tượng được miễn, tạm hoãn học học phần giáo dục quốc phòng - an ninh'), 0.4520281705540964)","1. Đối tượng được miễn, tạm hoãn học học phần giáo dục quốc phòng - an ninh",0.4520281705540964,"['1', 'đối tượng', 'được', 'miễn', 'tạm', 'hoãn', 'học', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh']"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='b) Đối tượng được miễn học, miễn thi học phần, nội dung trong chương trình giáo dục quốc phòng - an ninh: Sinh viên có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5,0 điểm trở lên theo thang điểm 10.'), 0.43243283627592644)","b) Đối tượng được miễn học, miễn thi học phần, nội dung trong chương trình giáo dục quốc phòng - an ninh: Sinh viên có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5,0 điểm trở lên theo thang điểm 10.",0.43243283627592644,"['b', 'đối tượng', 'được', 'miễn học', 'miễn thi', 'học', 'phần', 'nội dung', 'trong', 'chương trình', 'giáo dục', 'quốc phòng', 'an ninh', 'sinh viên', 'có', 'giấy', 'xác nhận', 'kết quả', 'học tập', 'các', 'học', 'phần', 'nội dung', 'đó', 'đạt', 'từ', '5,0 điểm', 'trở', 'lên', 'theo', 'thang', 'điểm', '10']"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='Điều 24. Đối tượng được miễn, tạm hoãn học các học phần giáo dục quốc phòng - an ninh, giáo dục thể chất'), 0.4114492691015046)","Điều 24. Đối tượng được miễn, tạm hoãn học các học phần giáo dục quốc phòng - an ninh, giáo dục thể chất",0.4114492691015046,"['điều', '24', 'đối tượng', 'được', 'miễn', 'tạm', 'hoãn học', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'giáo dục', 'thể chất']"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;'), 0.5142464019970909)",đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;,0.5142464019970909,"['đ', 'các', 'học phần', 'giáo dục', 'thể chất', 'do', 'trung tâm', 'giáo dục', 'thể chất', 'và', 'thể thao', 'giảng dạy']"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.4100363802988739)",h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.,0.4100363802988739,"['h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='2. Miễn, tạm hoãn học học phần giáo dục thể chất'), 0.3739753259787104)","2. Miễn, tạm hoãn học học phần giáo dục thể chất",0.3739753259787104,"['2', 'miễn', 'tạm', 'hoãn', 'học', 'học phần', 'giáo dục', 'thể chất']"
