Question,Relevant Documents
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.'), 0.6477712848554237)"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='1. Đào tạo chính quy được tổ chức đào tạo tập trung liên tục trong toàn khóa học và áp dụng cho các chương trình đào tạo quy định tại điểm a, b, c, d, đ, e, g, khoản 2, Điều 6 của Quy chế này. Các hoạt động giảng dạy được thực hiện tại đơn vị đào tạo, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài đơn vị đào tạo.'), 0.43508926784387103)"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='- Chỉ đạo và điều hành thống nhất công tác tổ chức và quản lý đào tạo theo cơ chế mở, liên thông, liên kết và hợp tác giữa các đơn vị đào tạo.'), 0.4108161812900225)"
Hệ thống tổ chức và quản lý đào tạo đại học tại ĐHQGHN gồm mấy cấp?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.4034567093372927)"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='a) Các học phần ngoại ngữ chung do Trường Đại học Ngoại ngữ giảng dạy, trừ các đơn vị có ngành/khoa/bộ môn đào tạo ngoại ngữ;'), 0.4191711618045796)"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.38658777039559544)"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='Giáo viên chủ nhiệm là giảng viên đã hết thời gian tập sự theo quy định, sẵn sàng nhận nhiệm vụ, có trách nhiệm, tận tâm với công việc được giao; Cố vấn học tập là cán bộ có trình độ thạc sĩ trở lên, có ít nhất 2 năm trực tiếp giảng dạy, am hiểu chương trình đào tạo. Các trường hợp đặc biệt do thủ trưởng đơn vị đào tạo quy định.'), 0.3790947772267832)"
Đơn vị nào chịu trách nhiệm giảng dạy các học phần ngoại ngữ chung tại ĐHQGHN ạ?,"(Document(metadata={}, page_content='2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.'), 0.37671689418064713)"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;'), 0.5549809939080819)"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.41312393198023656)"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3743505593710029)"
Các học phần lý luận chính trị tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;'), 0.3537329954290498)"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='c) Các học phần pháp luật do Trường Đại học Luật giảng dạy;'), 0.5644709469061888)"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.39619244711534907)"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3779066997141096)"
Các học phần pháp luật tại ĐHQGHN do đơn vị nào giảng dạy ạ?,"(Document(metadata={}, page_content='b) Các học phần lý luận chính trị do Trường Đại học Kinh tế và Trường Đại học Khoa học Xã hội và Nhân văn giảng dạy;'), 0.3544748642565385)"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.6590839204642327)"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='1. Đối tượng được miễn, tạm hoãn học học phần giáo dục quốc phòng - an ninh'), 0.4520281705540964)"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='b) Đối tượng được miễn học, miễn thi học phần, nội dung trong chương trình giáo dục quốc phòng - an ninh: Sinh viên có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5,0 điểm trở lên theo thang điểm 10.'), 0.43243283627592644)"
các học phần giáo dục quốc phòng - an ninh tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='Điều 24. Đối tượng được miễn, tạm hoãn học các học phần giáo dục quốc phòng - an ninh, giáo dục thể chất'), 0.4114492691015046)"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;'), 0.5142464019970909)"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.4100363802988739)"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='2. Miễn, tạm hoãn học học phần giáo dục thể chất'), 0.3739753259787104)"
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.35841239143182024)"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='e) Các học phần tin học cơ sở do Trường Đại học Công nghệ và Trường Đại học Khoa học Tự nhiên giảng dạy, trừ các đơn vị có ngành đào tạo về khoa học máy tính/công nghệ thông tin;'), 0.43335922400619586)"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.37874078584614024)"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;'), 0.36797049588396935)"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3473562193962)"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.3816449987364804)"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.'), 0.38030527686286464)"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='2. Đơn vị đào tạo có trách nhiệm lưu trữ, bảo quản an toàn các tài liệu liên quan tới công tác đào tạo theo các quy định do Bộ Giáo dục và Đào tạo ban hành.'), 0.3683660862040926)"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='c) Xây dựng, nghiệm thu đề cương học phần của các học phần thuộc đơn vị quản lý.'), 0.33969531318292034)"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.5996266869203384)"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.'), 0.5685918550193415)"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='Thủ trưởng đơn vị đào tạo tổ chức kiểm tra, thanh tra nội bộ việc thực hiện  kế hoạch đào tạo, chương trình đào tạo, quy chế đào tạo và các nhiệm vụ khác liên quan đến tổ chức đào tạo; chịu sự kiểm tra, thanh tra, giám sát của Đại học Quốc gia Hà Nội, Bộ Giáo dục và Đào tạo và các cơ quan có thẩm quyền theo các quy định hiện hành.'), 0.5590710505281247)"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='Đại học Quốc gia Hà Nội thực hiện thanh tra, kiểm tra việc thực hiện Quy chế này của các đơn vị đào tạo.'), 0.5583846469532762)"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='3. Đơn vị đào tạo công khai quy định việc công nhận kết quả học tập và chuyển đổi tín chỉ. Khối lượng tối đa được công nhận, chuyển đổi không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo; riêng đối với ngành đào tạo giáo viên thực hiện theo hướng dẫn của Bộ Giáo dục và Đào tạo.'), 0.5285102020854813)"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.5121893407618197)"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='4. Đơn vị đào tạo phải công bố công khai tiêu chí, quy trình về công nhận giá trị chuyển đổi kết quả học tập và khối lượng kiến thức, kỹ năng (nếu có) đã tích lũy của người học được miễn trừ khi học chương trình đào tạo văn bằng thứ hai trên trang thông tin điện tử của đơn vị đào tạo trước khi tổ chức đào tạo.'), 0.4878257227773698)"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='9. Ngoài các quy định trên, việc tổ chức kiểm tra, đánh giá và thi kết thúc học phần đối với sinh viên các chương trình đào tạo tài năng, chất lượng cao được thực hiện như sau:'), 0.4506073581439456)"
 Quy định về việc xây dựng những ngành học mới tại ĐHQGHN như thế nào?,"(Document(metadata={}, page_content='- Xây dựng những ngành học mới, chương trình đào tạo mới, chú trọng các chương trình đào tạo có tính liên ngành, báo cáo Giám đốc Đại học Quốc gia Hà Nội xem xét thẩm định, ban hành và giao nhiệm vụ tổ chức đào tạo.'), 0.5040824787444462)"
 Quy định về việc xây dựng những ngành học mới tại ĐHQGHN như thế nào?,"(Document(metadata={}, page_content='Điều 12. Nguyên tắc xây dựng ngành học mới'), 0.43381027957895946)"
 Quy định về việc xây dựng những ngành học mới tại ĐHQGHN như thế nào?,"(Document(metadata={}, page_content='b) Thẩm định, phê duyệt đề án mở ngành học mới của đơn vị đào tạo;'), 0.4236290339715768)"
